,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year
107,1,Despicable Me 2,Uni.,368061265,4003,83517315,3997,7/3/13,Despicable Me,2013
108,2,Minions,Uni.,336045770,4311,115718405,4301,7/10/15,Despicable Me,2015
109,3,Despicable Me 3,Uni.,264624300,4535,72434025,4529,6/30/17,Despicable Me,2017
110,4,Despicable Me,Uni.,251513985,3602,56397125,3476,7/9/10,Despicable Me,2010
111,1,Live Free or Die Hard,Fox,134529403,3411,33369559,3408,6/27/07,Die Hard,2007
112,2,Die Hard 2: Die Harder,Fox,117540947,2507,21744661,2507,7/6/90,Die Hard,1990
113,3,Die Hard: With A Vengeance,Fox,100012499,2579,22162245,2525,5/19/95,Die Hard,1995
114,4,Die Hard,Fox,83008852,1713,601851,21,7/15/88,Die Hard,1988
115,5,A Good Day to Die Hard,Fox,67349198,3555,24834845,3553,2/14/13,Die Hard,2013
116,1,Beauty and the Beast (2017),BV,504014165,4210,174750616,4210,3/17/17,Disney Live Action Reimaginings,2017
117,2,The Jungle Book (2016),BV,364001123,4144,103261464,4028,4/15/16,Disney Live Action Reimaginings,2016
118,3,Alice in Wonderland (2010),BV,334191110,3739,116101023,3728,3/5/10,Disney Live Action Reimaginings,2010
119,4,Maleficent,BV,241410378,3948,69431298,3948,5/30/14,Disney Live Action Reimaginings,2014
120,5,Oz The Great and Powerful,BV,234911825,3912,79110453,3912,3/8/13,Disney Live Action Reimaginings,2013
121,6,Cinderella (2015),BV,201151353,3848,67877361,3845,3/13/15,Disney Live Action Reimaginings,2015
122,7,101 Dalmatians (1996),BV,136189294,2901,33504025,2794,11/27/96,Disney Live Action Reimaginings,1996
123,8,Alice Through the Looking Glass,BV,77041381,3763,26858726,3763,5/27/16,Disney Live Action Reimaginings,2016
124,9,Pete's Dragon (2016),BV,76233151,3702,21514095,3702,8/12/16,Disney Live Action Reimaginings,2016
125,1,Divergent,LG/S,150947895,3936,54607747,3936,3/21/14,Divergent,2014
126,2,The Divergent Series: Insurgent,LG/S,130179072,3875,52263680,3875,3/20/15,Divergent,2015
127,3,The Divergent Series: Allegiant,LG/S,66184051,3740,29027348,3740,3/18/16,Divergent,2016
128,1,Dolphin Tale,WB,72286779,3515,19152401,3507,9/23/11,Dolphin Tale,2011
129,2,Dolphin Tale 2,WB,42024533,3656,15873397,3656,9/12/14,Dolphin Tale,2014
130,1,Dumb and Dumber,NL,127175374,2565,16363442,2447,12/16/94,Dumb and Dumber,1994
131,2,Dumb and Dumber To,Uni.,86208010,3188,36111775,3154,11/14/14,Dumb and Dumber,2014
132,3,Dumb and Dumberer: When Harry Met Lloyd,NL,26276465,2609,10845064,2609,6/13/03,Dumb and Dumber,2003
