,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year
561,2,Ted 2,Uni.,81476385,3448,33507870,3442,6/26/15,Ted,2015
562,1,Teenage Mutant Ninja Turtles (2014),Par.,191204754,3980,65575105,3845,8/8/14,Teenage Mutant Ninja Turtles,2014
563,2,Teenage Mutant Ninja Turtles,NL,135265915,2377,25398367,2006,3/30/90,Teenage Mutant Ninja Turtles,1990
564,3,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,82051601,4071,35316382,4071,6/3/16,Teenage Mutant Ninja Turtles,2016
565,4,Teenage Mutant Ninja Turtles II,NL,78656813,2868,20030473,2868,3/22/91,Teenage Mutant Ninja Turtles,1991
566,5,TMNT,WB,54149098,3120,24255205,3110,3/23/07,Teenage Mutant Ninja Turtles,2007
567,6,Teenage Mutant Ninja Turtles III,NL,42273609,2087,12419597,2087,3/19/93,Teenage Mutant Ninja Turtles,1993
568,1,Terminator 2: Judgment Day,TriS,204843345,2495,31765506,2274,7/3/91,Terminator,1991
569,2,Terminator 3: Rise of the Machines,WB,150371112,3504,44041440,3504,7/2/03,Terminator,2003
570,3,Terminator Salvation,WB,125322469,3602,42558390,3530,5/21/09,Terminator,2009
571,4,Terminator: Genisys,Par.,89760956,3783,27018486,3758,7/1/15,Terminator,2015
572,5,The Terminator,Orion,38371200,1112,4020663,1005,10/26/84,Terminator,1984
573,1,Thor: Ragnarok,BV,315058289,4080,122744989,4080,11/3/17,Thor,2017
574,2,Thor: The Dark World,BV,206362140,3841,85737841,3841,11/8/13,Thor,2013
575,3,Thor,Par.,181030624,3963,65723338,3955,5/6/11,Thor,2011
576,1,Toy Story 3,BV,415004880,4028,110307189,4028,6/18/10,Toy Story,2010
577,2,Toy Story 2,BV,245852179,3257,300163,1,11/19/99,Toy Story,1999
578,3,Toy Story,BV,191796233,2574,29140617,2457,11/22/95,Toy Story,1995
579,4,Toy Story / Toy Story 2 (3D),BV,30702446,1752,12491789,1745,10/2/09,Toy Story,2009
580,1,Transformers: Revenge of the Fallen,P/DW,402111870,4293,108966307,4234,6/24/09,Transformers,2009
581,2,Transformers: Dark of the Moon,P/DW,352390543,4088,97852865,4088,6/29/11,Transformers,2011
582,3,Transformers,P/DW,319246193,4050,70502384,4011,7/3/07,Transformers,2007
583,4,Transformers: Age of Extinction,Par.,245439076,4233,100038390,4233,6/27/14,Transformers,2014
584,5,Transformers: The Last Knight,Par.,130168683,4132,44680073,4069,6/21/17,Transformers,2017
585,6,Transformers: The Movie,DEG,5849647,990,1779559,990,8/8/86,Transformers,1986
586,1,The Twilight Saga: Eclipse,Sum.,300531751,4468,64832191,4468,6/30/10,Twilight,2010
587,2,The Twilight Saga: New Moon,Sum.,296623634,4124,142839137,4024,11/20/09,Twilight,2009
588,3,The Twilight Saga: Breaking Dawn Part 2,LG/S,292324737,4070,141067634,4070,11/16/12,Twilight,2012
589,4,The Twilight Saga: Breaking Dawn Part 1,Sum.,281287133,4066,138122261,4061,11/18/11,Twilight,2011
590,5,Twilight,Sum.,192769854,3649,69637740,3419,11/21/08,Twilight,2008
591,1,Split,Uni.,138291365,3373,40010975,3038,1/20/17,Unbreakable,2017
592,2,Unbreakable,BV,95011339,2708,30330771,2708,11/22/00,Unbreakable,2000
593,1,Underworld Awakening,SGem,62321039,3078,25306725,3078,1/20/12,Underworld,2012
594,2,Underworld: Evolution,SGem,62318875,3207,26857181,3207,1/20/06,Underworld,2006
595,3,Underworld,SGem,51970690,2928,21753759,2915,9/19/03,Underworld,2003
596,4,Underworld: Rise of the Lycans,SGem,45802315,2942,20828511,2942,1/23/09,Underworld,2009
597,5,Underworld: Blood Wars,SGem,30353973,3070,13688751,3070,1/6/17,Underworld,2017
598,1,Christmas Vacation,WB,71319526,1950,11750203,1744,12/1/89,Vacation,1989
599,2,National Lampoon's Vacation,WB,61399552,1253,8333358,1175,7/29/83,Vacation,1983
600,3,Vacation,WB (NL),58884188,3430,14681108,3411,7/29/15,Vacation,2015
601,4,European Vacation,WB,49364621,1547,12329627,1546,7/26/85,Vacation,1985
602,5,Vegas Vacation,WB,36400360,2070,12837927,2054,2/14/97,Vacation,1997
603,1,Logan,Fox,226277068,4071,88411916,4071,3/3/17,Wolverine,2017
604,2,X-Men Origins: Wolverine,Fox,179883157,4102,85058003,4099,5/1/09,Wolverine,2009
605,3,The Wolverine,Fox,132556852,3924,53113752,3924,7/26/13,Wolverine,2013
606,1,Deadpool,Fox,363070709,3856,132434639,3558,2/12/16,X-Men,2016
607,2,Deadpool 2,Fox,311082941,4349,125507153,4349,5/18/18,X-Men,2018
608,3,X-Men: The Last Stand,Fox,234362462,3714,102750665,3690,5/26/06,X-Men,2006
609,4,X-Men: Days of Future Past,Fox,233921534,4001,90823660,3996,5/23/14,X-Men,2014
610,5,Logan,Fox,226277068,4071,88411916,4071,3/3/17,X-Men,2017
611,6,X2: X-Men United,Fox,214949694,3749,85558731,3741,5/2/03,X-Men,2003
612,7,X-Men Origins: Wolverine,Fox,179883157,4102,85058003,4099,5/1/09,X-Men,2009
613,8,X-Men,Fox,157299717,3112,54471475,3025,7/14/00,X-Men,2000
614,9,X-Men: Apocalypse,Fox,155442489,4153,65769562,4150,5/27/16,X-Men,2016
615,10,X-Men: First Class,Fox,146408305,3692,55101604,3641,6/3/11,X-Men,2011
616,11,The Wolverine,Fox,132556852,3924,53113752,3924,7/26/13,X-Men,2013
617,1,XXX,SonR,142109382,3536,44506103,3374,8/9/02,xXx Trilogy,2002
618,2,xXx: The Return of Xander Cage,Par.,44898413,3651,20130142,3651,1/20/17,xXx Trilogy,2017
619,3,XXX: State of the Union,SonR,26873932,3480,12712272,3480,4/29/05,xXx Trilogy,2005
